1,1
2,1
3,1
4,1
5,1
6,1
7,1,0.01
8,1
1000,1,100
1000,2,20
1000,3,30
1000,4,40
1000,5,50
1000,6,60
1000,7,70
1000,8,80
1000,9,90
1000,10,100
1000,11,110
1000,12,120

1002,1

1003,1,100
1003,2,20
1003,3,30
1003,4,40
1003,5,50
1003,6,60
1003,7,70
1003,8,80
1003,9,90
1003,10,100
1003,11,110
1003,12,120

1004,1,100
1004,2,20
1004,3,30
1004,4,40
1004,5,50
1004,6,60
1004,7,70
1004,8,80
1004,9,90
1004,10,100
1004,11,110
1004,12,120

1006,1,100
1006,2,20
1006,3,30
1006,4,40
1006,5,50
1006,6,60
1006,7,70
1006,8,80
1006,9,90
1006,10,100
1006,11,110
1006,12,120

1007,1
